Complexname,Binders SMILES
3D9T_A_2_B,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@H](N2C1=O)C(=O)N[C@@H]1CCCc2ccccc12
3WN7_A_2_L,CCn1nnc2c(C)c(ccc12)[C@H](CC(O)=O)c1ccc(C)c(CN2CC(C)(C)Oc3ccccc3S2(=O)=O)c1
3WN7_A_2_L,CCn1nnc2c(C)c(ccc12)[C@@H](CC(O)=O)c1ccc(C)c(CN2CC(C)(C)Oc3ccccc3S2(=O)=O)c1
3WN7_A_2_L,CCn1nnc2c(C)c(ccc12)C(CC(O)=O)c1ccc(C)c(CN2CC(C)(C)Oc3ccccc3S2(=O)=O)c1
3D9T_A_2_B,CN[C@@H](C)C(=O)N[C@H]1CCCC[C@H]2CC[C@H](N2C1=O)C(=O)N[C@@H]1CCCc2ccccc12
3WN7_A_2_M,CCn1nnc2c(C)c(ccc12)[C@@H](CC(O)=O)c1ccc(C)c(CN2CC(C)(C)Oc3ccccc3S2(=O)=O)c1
3WN7_A_2_M,CCn1nnc2c(C)c(ccc12)C(CC(O)=O)c1ccc(C)c(CN2CC(C)(C)Oc3ccccc3S2(=O)=O)c1
1YCR_A_2_B,C[C@]1(CC(O)=O)C[C@@H]([C@H](N([C@H](CS(=O)(=O)c2ccc(F)cc2)C2CC2)C1=O)c1ccc(Cl)cc1)c1cccc(Cl)c1
1YCR_A_2_B,COc1nc(ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(cc1)C#N)c1cc(Cl)c(=O)n(C)c1)N(C)C
1YCR_A_2_B,COc1nc(ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)c(F)c1)c1cc(Cl)c(=O)n(C)c1)N(C)C
1YCR_A_2_B,COc1nc(ncc1-c1cc2C(=O)N([C@H](c2n1C(C)C)c1ccc(cc1)C#N)c1cc(Cl)c[nH]c1=O)N(C)C
1YCR_A_2_B,C[C@]1(CC(O)=O)C[C@@H](C(N([C@H](CNS(C)(=O)=O)C2CC2)C1=O)c1ccc(Cl)cc1)c1cccc(Cl)c1
1YCR_A_2_B,COc1nc(ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(C#N)c(F)c1)c1cc(Cl)c(=O)n(C)c1)N(C)C
1YCR_A_2_B,COc1nc(ncc1-c1c(C#N)c2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)cc1)c1cc(Cl)c(=O)n(C)c1)N(C)C
1YCR_A_2_B,COc1nc(ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(C#N)c(F)c1)c1cc(Cl)c[nH]c1=O)N(C)C
1YCR_A_2_B,COc1ncc(-c2cc3C(=O)N(C(c3n2C(C)C)c2ccc(Cl)cc2)c2c[nH]c(=O)c(Cl)c2)c(OC)n1
1YCR_A_2_B,COc1ncc(-c2cc3C(=O)N(C(c3n2C(C)C)c2ccc(cc2)C#N)c2c[nH]c(=O)c(Cl)c2)c(OC)n1
1YCR_A_2_B,CC[C@@H](CNS(=O)(=O)C(C)(C)C)N1[C@@H]([C@H](C[C@](C)(CC(O)=O)C1=O)c1cccc(Cl)c1)c1ccc(Cl)cc1
1YCR_A_2_B,COc1nc(ncc1-c1cc2C(=O)N(C(c2n1C(C)C)c1ccc(Cl)c(F)c1)c1cc(Cl)c[nH]c1=O)N(C)C
2RNY_A_2_B,CNC(=O)c1cn(C)c2ccc(N3CCCc4cc(-c5cnn(C)c5)c(cc34)C(F)F)c(F)c12
4ESG_A_2_B,CNC(=O)c1ccc(F)c(c1)-c1ccc(N2C[C@H](C)N(C)[C@H](C)C2)c(NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)c1
